m_degree,error,time_seconds
50,49.49572695256229,0.046506643295288086
60,0.0017542477391062072,0.03127479553222656
70,1.319989549330991e-07,0.03364276885986328
80,1.3944953553002293e-07,0.03245902061462402
90,1.3944953553002293e-07,0.03625631332397461
100,1.3944953553002293e-07,0.04301810264587402
